Age,Weight,HeartRate,Gender,Duration_minutes,AnklePain,HipPain,BackPain,LegPain,NeckPain,Walking,Weights,Jogging,Squats,Gym
42,56,92,Female,57,1,0,1,0,0,1,0,0,1,1
27,77,96,Female,71,1,1,0,0,1,1,1,1,0,1
19,52,96,Male,82,0,1,0,1,0,1,0,1,0,1
40,71,94,Male,80,0,0,0,0,0,0,0,1,0,0
35,80,116,Male,105,1,0,0,1,1,0,0,1,1,0
36,72,112,Male,109,1,1,0,0,0,1,1,0,1,0
24,65,112,Female,80,1,1,0,1,0,0,1,0,0,1
40,51,105,Female,76,0,0,0,0,1,1,0,0,1,0
30,51,94,Female,72,1,1,0,1,1,0,0,0,1,0
34,67,95,Female,46,0,0,1,0,0,0,1,0,1,0
34,52,104,Female,46,1,1,1,0,0,0,0,1,1,1
39,75,77,Male,55,0,0,1,1,0,1,0,0,0,0
28,60,106,Male,93,0,1,0,0,0,1,1,0,0,0
38,66,115,Male,63,1,0,0,1,0,0,1,1,1,0
34,57,93,Female,102,0,0,0,0,0,1,1,1,1,1
33,69,119,Male,52,0,1,0,0,0,1,0,0,0,0
36,66,77,Female,98,1,1,0,0,0,0,0,0,0,0
37,49,107,Male,84,1,1,1,0,1,0,1,1,1,1
22,74,116,Female,107,0,0,0,0,0,1,0,0,1,0
20,72,105,Female,72,0,1,1,1,1,0,1,0,1,1
28,80,74,Male,95,0,1,0,1,1,0,0,1,1,1
30,52,81,Female,46,0,0,0,0,0,1,0,0,1,1
30,77,91,Female,87,0,1,1,1,1,1,1,1,1,0
28,66,80,Male,58,0,0,1,1,1,1,0,1,1,1
21,48,115,Female,85,1,1,1,0,0,0,0,1,0,0
43,70,79,Female,87,1,1,0,0,1,1,0,0,0,0
35,57,82,Male,87,1,1,1,0,0,1,1,1,0,1
32,79,76,Female,117,0,1,0,1,0,0,0,1,1,0
29,60,106,Male,57,0,0,1,1,1,1,0,0,1,1
35,81,94,Male,77,1,0,0,1,0,0,1,0,0,0
24,60,91,Female,104,1,1,0,1,0,1,0,0,1,1
40,63,107,Female,92,1,0,0,0,0,1,0,0,1,1
37,63,70,Female,54,1,0,0,0,0,1,1,1,1,1
29,81,114,Female,89,0,0,1,1,1,1,0,0,1,0
36,48,110,Male,73,0,1,0,1,0,1,0,1,0,0
24,55,86,Female,85,0,0,1,1,0,1,0,0,0,0
40,46,116,Male,99,1,1,0,0,0,1,0,1,1,1
25,70,83,Male,81,0,0,0,0,1,1,1,0,0,0
44,76,85,Male,118,1,0,1,1,1,1,1,0,1,0
33,60,92,Female,68,1,0,0,0,1,1,1,1,0,0
21,73,110,Female,62,0,0,1,0,0,1,0,0,0,0
27,53,94,Female,86,0,0,1,1,0,0,1,1,0,1
25,67,113,Female,65,0,1,1,0,0,1,1,1,0,1
35,46,87,Male,102,1,1,0,0,0,0,0,1,0,1
32,48,108,Male,48,1,1,1,1,1,1,1,0,1,1
26,59,118,Female,94,1,0,1,0,1,1,1,0,1,1
28,80,95,Male,53,0,0,0,0,1,1,0,1,1,0
22,66,117,Male,105,0,0,1,0,1,0,0,0,1,1
21,62,106,Male,100,1,1,0,0,1,1,0,0,1,1
28,46,86,Male,47,1,1,0,1,0,1,0,0,1,1
42,50,102,Male,72,1,0,0,1,1,1,1,0,1,0
27,61,82,Male,107,0,0,0,1,0,1,1,1,0,1
32,78,102,Male,59,1,1,1,1,0,0,1,1,0,0
25,75,94,Female,88,1,1,1,0,1,0,0,0,0,0
32,66,84,Male,103,0,1,1,0,0,0,0,0,0,1
28,59,96,Male,54,1,0,0,0,0,0,0,1,0,0
38,70,80,Female,77,0,1,1,1,1,1,0,1,1,0
22,52,86,Female,81,0,0,0,0,1,1,1,1,0,0
41,49,82,Male,60,0,1,1,0,0,1,0,0,1,1
24,53,119,Male,51,1,1,0,0,0,1,1,1,1,0
28,62,86,Female,104,0,1,1,0,0,1,0,0,0,1
31,50,98,Female,75,1,1,0,1,1,0,0,0,0,0
41,74,73,Female,99,0,0,0,1,0,0,1,1,0,0
40,81,78,Male,93,1,1,0,1,1,1,0,0,0,0
29,71,76,Female,63,0,0,1,0,1,1,1,1,0,1
32,50,70,Female,96,1,0,0,0,1,1,0,1,0,0
31,72,69,Male,48,0,1,0,1,1,0,1,1,0,0
31,63,85,Male,46,1,1,1,0,0,0,1,1,0,0
25,48,111,Female,80,0,0,0,0,0,0,0,0,1,0
34,52,102,Female,52,1,1,0,1,0,1,1,1,1,0
42,64,86,Male,66,1,1,0,1,1,1,1,0,0,1
31,54,114,Female,54,1,1,0,0,1,1,1,1,0,1
28,74,72,Male,108,0,0,1,0,1,1,0,1,0,1
39,51,76,Female,113,0,1,1,1,1,0,0,0,1,0
20,81,93,Male,84,1,0,1,0,1,1,1,1,0,1
28,62,81,Female,59,0,0,1,0,1,0,0,0,1,0
20,69,78,Male,77,0,1,1,0,0,0,1,0,0,1
42,49,74,Male,80,0,1,0,0,0,0,1,0,1,1
38,49,88,Male,78,1,1,1,0,0,0,1,1,1,0
28,62,118,Male,85,0,1,1,0,0,0,1,0,1,1
27,51,93,Male,56,0,0,0,1,0,0,1,1,0,1
44,57,74,Male,73,1,1,0,0,1,0,0,0,1,0
25,71,82,Female,57,1,0,1,1,1,0,0,1,0,1
38,65,112,Female,100,1,1,1,0,0,0,1,1,0,0
21,53,74,Female,85,1,1,0,0,0,0,1,0,1,1
38,67,72,Male,114,1,0,1,0,0,1,0,0,1,1
25,48,108,Male,108,1,1,1,0,0,0,1,0,0,1
25,79,105,Female,49,0,0,1,1,1,1,0,0,0,1
25,45,113,Male,85,0,1,0,0,1,1,0,1,1,0
33,55,88,Female,78,1,1,0,1,0,0,1,0,0,0
19,57,83,Female,58,1,1,1,1,1,1,1,1,1,1
32,70,117,Female,63,1,0,1,0,1,0,1,1,1,0
31,66,109,Male,72,0,1,1,1,0,0,1,1,1,1
19,58,73,Male,80,1,0,1,1,0,1,1,1,0,1
30,61,110,Male,91,1,1,1,1,1,0,1,1,0,1
34,80,81,Female,65,0,1,0,1,1,0,0,0,1,1
44,61,72,Female,63,1,1,1,0,0,0,1,1,0,1
23,67,119,Female,113,0,0,0,1,0,1,0,0,1,1
41,61,108,Female,47,0,0,1,1,1,0,0,1,1,0
41,70,77,Male,75,1,0,0,1,1,1,1,1,0,0
